,filename,folder,octTags0,octTags1,octTags2,octTags3,octTags4,all_label,fundus_image_qualified,fundus_image_unqualified,fi_unqualified_disc-position,fi_unqualified_macular-position,fi_unqualified_focus-clearness,fi_unqualified_readable-range,fi_unqualified_others,path,exists
510,1427037-20151209-R_151209163453406._138.jpg,xux,fundus_image_qualified,,,,,fundus_image_qualifiednannannannan,1,0,0,0,0,0,0,dbfs:/mnt/fiqainDB/crop_fundus_image_set/1427037-20151209-R_151209163453406._138.png,TRUE
1573,86177031-20181224-L_181224084739906_120.jpg,xux,fundus_image_unqualified,fi_unqualified_macular-position,fi_unqualified_others,,,fundus_image_unqualifiedfi_unqualified_macular-positionfi_unqualified_othersnannan,0,1,0,1,0,0,1,dbfs:/mnt/fiqainDB/crop_fundus_image_set/86177031-20181224-L_181224084739906_120.png,TRUE
2786,14002359-20160812-L_170222102101468_050.jpg,xux,fundus_image_unqualified,fi_unqualified_macular-position,,,,fundus_image_unqualifiedfi_unqualified_macular-positionnannannan,0,1,0,1,0,0,0,dbfs:/mnt/fiqainDB/crop_fundus_image_set/14002359-20160812-L_170222102101468_050.png,TRUE
2458,86175734-20171221-R_171221134437796_170.jpg,xux,fundus_image_unqualified,fi_unqualified_readable-range,fi_unqualified_others,,,fundus_image_unqualifiedfi_unqualified_readable-rangefi_unqualified_othersnannan,0,1,0,0,0,1,1,dbfs:/mnt/fiqainDB/crop_fundus_image_set/86175734-20171221-R_171221134437796_170.png,TRUE
3214,1301261-20170821-R_170821094516531._034.jpg,xux,fundus_image_unqualified,fi_unqualified_macular-position,fi_unqualified_others,,,fundus_image_unqualifiedfi_unqualified_macular-positionfi_unqualified_othersnannan,0,1,0,1,0,0,1,dbfs:/mnt/fiqainDB/crop_fundus_image_set/1301261-20170821-R_170821094516531._034.png,TRUE
2099,13000004-20140312-R_140625114839500_188.jpg,xux,fundus_image_qualified,,,,,fundus_image_qualifiednannannannan,1,0,0,0,0,0,0,dbfs:/mnt/fiqainDB/crop_fundus_image_set/13000004-20140312-R_140625114839500_188.png,TRUE
2644,18010008-20180706-R_180706093028875_159.jpg,xux,fundus_image_unqualified,fi_unqualified_macular-position,fi_unqualified_others,,,fundus_image_unqualifiedfi_unqualified_macular-positionfi_unqualified_othersnannan,0,1,0,1,0,0,1,dbfs:/mnt/fiqainDB/crop_fundus_image_set/18010008-20180706-R_180706093028875_159.png,TRUE
186,1301217-20180404-R_180404095205062_076.jpg,xux,fundus_image_unqualified,fi_unqualified_others,fi_unqualified_focus-clearness,,,fundus_image_unqualifiedfi_unqualified_othersfi_unqualified_focus-clearnessnannan,0,1,0,0,1,0,1,dbfs:/mnt/fiqainDB/crop_fundus_image_set/1301217-20180404-R_180404095205062_076.png,TRUE
2064,14004196-20151016-L_151016142029093_011.jpg,xux,fundus_image_unqualified,fi_unqualified_others,fi_unqualified_macular-position,,,fundus_image_unqualifiedfi_unqualified_othersfi_unqualified_macular-positionnannan,0,1,0,1,0,0,1,dbfs:/mnt/fiqainDB/crop_fundus_image_set/14004196-20151016-L_151016142029093_011.png,TRUE
949,86171130-20150330-L_15052914062439_121.jpg,xux,fundus_image_unqualified,fi_unqualified_others,,,,fundus_image_unqualifiedfi_unqualified_othersnannannan,0,1,0,0,0,0,1,dbfs:/mnt/fiqainDB/crop_fundus_image_set/86171130-20150330-L_15052914062439_121.png,TRUE
1338,1427230-20161213-L_161213150118609._169.jpg,xux,fundus_image_qualified,,,,,fundus_image_qualifiednannannannan,1,0,0,0,0,0,0,dbfs:/mnt/fiqainDB/crop_fundus_image_set/1427230-20161213-L_161213150118609._169.png,TRUE
1421,15093022-20191125-R_191125175109285.1215738.29910_112.jpg,xux,fundus_image_unqualified,fi_unqualified_disc-position,fi_unqualified_others,,,fundus_image_unqualifiedfi_unqualified_disc-positionfi_unqualified_othersnannan,0,1,1,0,0,0,1,dbfs:/mnt/fiqainDB/crop_fundus_image_set/15093022-20191125-R_191125175109285.1215738.29910_112.png,TRUE
3376,86178154-20181106-L_181106144459140_065.jpg,xux,fundus_image_unqualified,fi_unqualified_macular-position,,,,fundus_image_unqualifiedfi_unqualified_macular-positionnannannan,0,1,0,1,0,0,0,dbfs:/mnt/fiqainDB/crop_fundus_image_set/86178154-20181106-L_181106144459140_065.png,TRUE
2180,1301077-20151022-R_151022101731312._198.jpg,xux,fundus_image_unqualified,fi_unqualified_readable-range,,,,fundus_image_unqualifiedfi_unqualified_readable-rangenannannan,0,1,0,0,0,1,0,dbfs:/mnt/fiqainDB/crop_fundus_image_set/1301077-20151022-R_151022101731312._198.png,TRUE
1419,86171132-20190212-L_190212145327421_157.jpg,xux,fundus_image_unqualified,fi_unqualified_macular-position,fi_unqualified_others,,,fundus_image_unqualifiedfi_unqualified_macular-positionfi_unqualified_othersnannan,0,1,0,1,0,0,1,dbfs:/mnt/fiqainDB/crop_fundus_image_set/86171132-20190212-L_190212145327421_157.png,TRUE
704,14002257-20150119-R_15011909445542_083.jpg,xux,fundus_image_unqualified,fi_unqualified_focus-clearness,,,,fundus_image_unqualifiedfi_unqualified_focus-clearnessnannannan,0,1,0,0,1,0,0,dbfs:/mnt/fiqainDB/crop_fundus_image_set/14002257-20150119-R_15011909445542_083.png,TRUE
1618,14005672-20180313-L_180313150512312_196.jpg,xux,fundus_image_unqualified,fi_unqualified_macular-position,,,,fundus_image_unqualifiedfi_unqualified_macular-positionnannannan,0,1,0,1,0,0,0,dbfs:/mnt/fiqainDB/crop_fundus_image_set/14005672-20180313-L_180313150512312_196.png,TRUE
651,86172678-20181016-R_181016155114921_099.jpg,xux,fundus_image_unqualified,fi_unqualified_macular-position,fi_unqualified_others,fi_unqualified_readable-range,,fundus_image_unqualifiedfi_unqualified_macular-positionfi_unqualified_othersfi_unqualified_readable-rangenan,0,1,0,1,0,1,1,dbfs:/mnt/fiqainDB/crop_fundus_image_set/86172678-20181016-R_181016155114921_099.png,TRUE
3345,14003193-20150609-R_150609111712921_075.jpg,xux,fundus_image_unqualified,fi_unqualified_readable-range,,,,fundus_image_unqualifiedfi_unqualified_readable-rangenannannan,0,1,0,0,0,1,0,dbfs:/mnt/fiqainDB/crop_fundus_image_set/14003193-20150609-R_150609111712921_075.png,TRUE
1706,13011043-20180604-R_180604151334859_135.jpg,xux,fundus_image_unqualified,fi_unqualified_readable-range,,,,fundus_image_unqualifiedfi_unqualified_readable-rangenannannan,0,1,0,0,0,1,0,dbfs:/mnt/fiqainDB/crop_fundus_image_set/13011043-20180604-R_180604151334859_135.png,TRUE
3324,16111006-20180907-R_180907110145156_037.jpg,xux,fundus_image_unqualified,fi_unqualified_readable-range,fi_unqualified_others,,,fundus_image_unqualifiedfi_unqualified_readable-rangefi_unqualified_othersnannan,0,1,0,0,0,1,1,dbfs:/mnt/fiqainDB/crop_fundus_image_set/16111006-20180907-R_180907110145156_037.png,TRUE
2376,1301217-20140428-L_140428092911343._031.jpg,xux,fundus_image_unqualified,fi_unqualified_focus-clearness,fi_unqualified_others,fi_unqualified_readable-range,,fundus_image_unqualifiedfi_unqualified_focus-clearnessfi_unqualified_othersfi_unqualified_readable-rangenan,0,1,0,0,1,1,1,dbfs:/mnt/fiqainDB/crop_fundus_image_set/1301217-20140428-L_140428092911343._031.png,TRUE
3261,1301121-20160921-R_161220114443000._077.jpg,xux,fundus_image_qualified,,,,,fundus_image_qualifiednannannannan,1,0,0,0,0,0,0,dbfs:/mnt/fiqainDB/crop_fundus_image_set/1301121-20160921-R_161220114443000._077.png,TRUE
484,1301212-20151218-L_151218101454500._039.jpg,xux,fundus_image_qualified,,,,,fundus_image_qualifiednannannannan,1,0,0,0,0,0,0,dbfs:/mnt/fiqainDB/crop_fundus_image_set/1301212-20151218-L_151218101454500._039.png,TRUE
1294,14004332-20180706-L_180706142223171_034.jpg,xux,fundus_image_unqualified,fi_unqualified_readable-range,,,,fundus_image_unqualifiedfi_unqualified_readable-rangenannannan,0,1,0,0,0,1,0,dbfs:/mnt/fiqainDB/crop_fundus_image_set/14004332-20180706-L_180706142223171_034.png,TRUE
93,14002579-20150318-R_150318111216609_173.jpg,xux,fundus_image_unqualified,fi_unqualified_focus-clearness,,,,fundus_image_unqualifiedfi_unqualified_focus-clearnessnannannan,0,1,0,0,1,0,0,dbfs:/mnt/fiqainDB/crop_fundus_image_set/14002579-20150318-R_150318111216609_173.png,TRUE
469,14003121-20150526-L_150526150502515_037.jpg,xux,fundus_image_unqualified,fi_unqualified_focus-clearness,fi_unqualified_readable-range,,,fundus_image_unqualifiedfi_unqualified_focus-clearnessfi_unqualified_readable-rangenannan,0,1,0,0,1,1,0,dbfs:/mnt/fiqainDB/crop_fundus_image_set/14003121-20150526-L_150526150502515_037.png,TRUE
3433,13161350-20200120-R_200120102531578.1076358.909_083.jpg,xux,fundus_image_unqualified,fi_unqualified_disc-position,fi_unqualified_others,,,fundus_image_unqualifiedfi_unqualified_disc-positionfi_unqualified_othersnannan,0,1,1,0,0,0,1,dbfs:/mnt/fiqainDB/crop_fundus_image_set/13161350-20200120-R_200120102531578.1076358.909_083.png,TRUE
2795,140400764-20140627-L_14062715474239_188.jpg,xux,fundus_image_unqualified,fi_unqualified_readable-range,fi_unqualified_others,,,fundus_image_unqualifiedfi_unqualified_readable-rangefi_unqualified_othersnannan,0,1,0,0,0,1,1,dbfs:/mnt/fiqainDB/crop_fundus_image_set/140400764-20140627-L_14062715474239_188.png,TRUE
271,13011081-20181102-R_181102105846781_013.jpg,xux,fundus_image_qualified,,,,,fundus_image_qualifiednannannannan,1,0,0,0,0,0,0,dbfs:/mnt/fiqainDB/crop_fundus_image_set/13011081-20181102-R_181102105846781_013.png,TRUE
1454,16121049-20190108-R_190108110131656_050.jpg,xux,fundus_image_unqualified,fi_unqualified_macular-position,fi_unqualified_focus-clearness,fi_unqualified_others,,fundus_image_unqualifiedfi_unqualified_macular-positionfi_unqualified_focus-clearnessfi_unqualified_othersnan,0,1,0,1,1,0,1,dbfs:/mnt/fiqainDB/crop_fundus_image_set/16121049-20190108-R_190108110131656_050.png,TRUE
2316,86186593-20191226-R_191226152020062.1076358.17714_199.jpg,xux,fundus_image_unqualified,fi_unqualified_disc-position,fi_unqualified_others,,,fundus_image_unqualifiedfi_unqualified_disc-positionfi_unqualified_othersnannan,0,1,1,0,0,0,1,dbfs:/mnt/fiqainDB/crop_fundus_image_set/86186593-20191226-R_191226152020062.1076358.17714_199.png,TRUE
1432,1301176-20151028-R_151028095535671_020.jpg,xux,fundus_image_qualified,,,,,fundus_image_qualifiednannannannan,1,0,0,0,0,0,0,dbfs:/mnt/fiqainDB/crop_fundus_image_set/1301176-20151028-R_151028095535671_020.png,TRUE
1785,13011027-20160902-L_160902170718531_095.jpg,xux,fundus_image_qualified,,,,,fundus_image_qualifiednannannannan,1,0,0,0,0,0,0,dbfs:/mnt/fiqainDB/crop_fundus_image_set/13011027-20160902-L_160902170718531_095.png,TRUE
483,1301174-20170327-R_170327153433671._090.jpg,xux,fundus_image_unqualified,fi_unqualified_macular-position,,,,fundus_image_unqualifiedfi_unqualified_macular-positionnannannan,0,1,0,1,0,0,0,dbfs:/mnt/fiqainDB/crop_fundus_image_set/1301174-20170327-R_170327153433671._090.png,TRUE
1742,14004389-20151102-R_151102143147578_156.jpg,xux,fundus_image_unqualified,fi_unqualified_others,fi_unqualified_focus-clearness,,,fundus_image_unqualifiedfi_unqualified_othersfi_unqualified_focus-clearnessnannan,0,1,0,0,1,0,1,dbfs:/mnt/fiqainDB/crop_fundus_image_set/14004389-20151102-R_151102143147578_156.png,TRUE
679,14001183-20140702-L_140702111600171_198.jpg,xux,fundus_image_unqualified,fi_unqualified_others,fi_unqualified_readable-range,,,fundus_image_unqualifiedfi_unqualified_othersfi_unqualified_readable-rangenannan,0,1,0,0,0,1,1,dbfs:/mnt/fiqainDB/crop_fundus_image_set/14001183-20140702-L_140702111600171_198.png,TRUE
3440,1612003-20150213-R_150213151159250_097.jpg,xux,fundus_image_qualified,,,,,fundus_image_qualifiednannannannan,1,0,0,0,0,0,0,dbfs:/mnt/fiqainDB/crop_fundus_image_set/1612003-20150213-R_150213151159250_097.png,TRUE
2328,18120051-20200330-L_200330141336796.1076358.9751_141.jpg,xux,fundus_image_unqualified,fi_unqualified_focus-clearness,fi_unqualified_others,,,fundus_image_unqualifiedfi_unqualified_focus-clearnessfi_unqualified_othersnannan,0,1,0,0,1,0,1,dbfs:/mnt/fiqainDB/crop_fundus_image_set/18120051-20200330-L_200330141336796.1076358.9751_141.png,TRUE
2117,19030074-20190804-R_1.2.276.0.75.2.1.20.0.3.190804151029750.1076358.11834_110.jpg,xux,fundus_image_unqualified,fi_unqualified_focus-clearness,fi_unqualified_readable-range,,,fundus_image_unqualifiedfi_unqualified_focus-clearnessfi_unqualified_readable-rangenannan,0,1,0,0,1,1,0,dbfs:/mnt/fiqainDB/crop_fundus_image_set/19030074-20190804-R_1.2.276.0.75.2.1.20.0.3.190804151029750.1076358.11834_110.png,TRUE
1364,86171256-20181026-R_181026101043390_139.jpg,xux,fundus_image_unqualified,fi_unqualified_macular-position,,,,fundus_image_unqualifiedfi_unqualified_macular-positionnannannan,0,1,0,1,0,0,0,dbfs:/mnt/fiqainDB/crop_fundus_image_set/86171256-20181026-R_181026101043390_139.png,TRUE
1417,1301133-20160310-R_160310104426640._066.jpg,xux,fundus_image_unqualified,fi_unqualified_focus-clearness,fi_unqualified_others,,,fundus_image_unqualifiedfi_unqualified_focus-clearnessfi_unqualified_othersnannan,0,1,0,0,1,0,1,dbfs:/mnt/fiqainDB/crop_fundus_image_set/1301133-20160310-R_160310104426640._066.png,TRUE
3016,1301276-20150318-L_150318161729781._169.jpg,xux,fundus_image_qualified,,,,,fundus_image_qualifiednannannannan,1,0,0,0,0,0,0,dbfs:/mnt/fiqainDB/crop_fundus_image_set/1301276-20150318-L_150318161729781._169.png,TRUE
1251,13011100-20191211-R_1.2.276.0.75.2.1.20.0.3.191211113519437.1076358.24687_021.jpg,xux,fundus_image_unqualified,fi_unqualified_others,fi_unqualified_readable-range,fi_unqualified_focus-clearness,,fundus_image_unqualifiedfi_unqualified_othersfi_unqualified_readable-rangefi_unqualified_focus-clearnessnan,0,1,0,0,1,1,1,dbfs:/mnt/fiqainDB/crop_fundus_image_set/13011100-20191211-R_1.2.276.0.75.2.1.20.0.3.191211113519437.1076358.24687_021.png,TRUE
1393,1301049-20150326-L_150326103237812._183.jpg,xux,fundus_image_unqualified,fi_unqualified_focus-clearness,,,,fundus_image_unqualifiedfi_unqualified_focus-clearnessnannannan,0,1,0,0,1,0,0,dbfs:/mnt/fiqainDB/crop_fundus_image_set/1301049-20150326-L_150326103237812._183.png,TRUE
1691,14003409-20151023-L_151023115622250_187.jpg,xux,fundus_image_qualified,,,,,fundus_image_qualifiednannannannan,1,0,0,0,0,0,0,dbfs:/mnt/fiqainDB/crop_fundus_image_set/14003409-20151023-L_151023115622250_187.png,TRUE
3156,86175505-20180102-R_180102112535093_072.jpg,xux,fundus_image_unqualified,fi_unqualified_readable-range,fi_unqualified_others,,,fundus_image_unqualifiedfi_unqualified_readable-rangefi_unqualified_othersnannan,0,1,0,0,0,1,1,dbfs:/mnt/fiqainDB/crop_fundus_image_set/86175505-20180102-R_180102112535093_072.png,TRUE
2474,14001371-20140811-R_140811161433921_078.jpg,xux,fundus_image_qualified,,,,,fundus_image_qualifiednannannannan,1,0,0,0,0,0,0,dbfs:/mnt/fiqainDB/crop_fundus_image_set/14001371-20140811-R_140811161433921_078.png,TRUE
552,14003326-20150701-L_151113144524812_063.jpg,xux,fundus_image_unqualified,fi_unqualified_macular-position,,,,fundus_image_unqualifiedfi_unqualified_macular-positionnannannan,0,1,0,1,0,0,0,dbfs:/mnt/fiqainDB/crop_fundus_image_set/14003326-20150701-L_151113144524812_063.png,TRUE
3471,1301270-20170710-L_170710113428046._096.jpg,xux,fundus_image_unqualified,fi_unqualified_disc-position,fi_unqualified_others,,,fundus_image_unqualifiedfi_unqualified_disc-positionfi_unqualified_othersnannan,0,1,1,0,0,0,1,dbfs:/mnt/fiqainDB/crop_fundus_image_set/1301270-20170710-L_170710113428046._096.png,TRUE
1160,14007402-20160715-L_160715101606890_092.jpg,xux,fundus_image_unqualified,fi_unqualified_readable-range,fi_unqualified_others,,,fundus_image_unqualifiedfi_unqualified_readable-rangefi_unqualified_othersnannan,0,1,0,0,0,1,1,dbfs:/mnt/fiqainDB/crop_fundus_image_set/14007402-20160715-L_160715101606890_092.png,TRUE
860,14006322-20160318-R_160318152733937_144.jpg,xux,fundus_image_qualified,,,,,fundus_image_qualifiednannannannan,1,0,0,0,0,0,0,dbfs:/mnt/fiqainDB/crop_fundus_image_set/14006322-20160318-R_160318152733937_144.png,TRUE
3494,86177049-20180404-R_180404163152875_151.jpg,xux,fundus_image_unqualified,fi_unqualified_readable-range,fi_unqualified_others,,,fundus_image_unqualifiedfi_unqualified_readable-rangefi_unqualified_othersnannan,0,1,0,0,0,1,1,dbfs:/mnt/fiqainDB/crop_fundus_image_set/86177049-20180404-R_180404163152875_151.png,TRUE
2779,86185836-20191101-L_1.2.276.0.75.2.1.20.0.3.191101110518531.1076358.13448_128.jpg,xux,fundus_image_unqualified,fi_unqualified_readable-range,fi_unqualified_others,,,fundus_image_unqualifiedfi_unqualified_readable-rangefi_unqualified_othersnannan,0,1,0,0,0,1,1,dbfs:/mnt/fiqainDB/crop_fundus_image_set/86185836-20191101-L_1.2.276.0.75.2.1.20.0.3.191101110518531.1076358.13448_128.png,TRUE
2063,1301076-20191211-L_1.2.276.0.75.2.1.20.0.3.191211100214406.1076358.7987_013.jpg,xux,fundus_image_unqualified,fi_unqualified_macular-position,,,,fundus_image_unqualifiedfi_unqualified_macular-positionnannannan,0,1,0,1,0,0,0,dbfs:/mnt/fiqainDB/crop_fundus_image_set/1301076-20191211-L_1.2.276.0.75.2.1.20.0.3.191211100214406.1076358.7987_013.png,TRUE
1590,15091467-20191202-L_191202111353324.1215738.26583_032.jpg,xux,fundus_image_unqualified,fi_unqualified_disc-position,,,,fundus_image_unqualifiedfi_unqualified_disc-positionnannannan,0,1,1,0,0,0,0,dbfs:/mnt/fiqainDB/crop_fundus_image_set/15091467-20191202-L_191202111353324.1215738.26583_032.png,TRUE
666,1301195-20150206-R_150206101644281._194.jpg,xux,fundus_image_unqualified,fi_unqualified_focus-clearness,,,,fundus_image_unqualifiedfi_unqualified_focus-clearnessnannannan,0,1,0,0,1,0,0,dbfs:/mnt/fiqainDB/crop_fundus_image_set/1301195-20150206-R_150206101644281._194.png,TRUE
1170,1301174-20150113-L_150113100047296._188.jpg,xux,fundus_image_qualified,,,,,fundus_image_qualifiednannannannan,1,0,0,0,0,0,0,dbfs:/mnt/fiqainDB/crop_fundus_image_set/1301174-20150113-L_150113100047296._188.png,TRUE
355,15091609-20191129-R_191129111848687.1076358.866_069.jpg,xux,fundus_image_unqualified,fi_unqualified_disc-position,fi_unqualified_others,,,fundus_image_unqualifiedfi_unqualified_disc-positionfi_unqualified_othersnannan,0,1,1,0,0,0,1,dbfs:/mnt/fiqainDB/crop_fundus_image_set/15091609-20191129-R_191129111848687.1076358.866_069.png,TRUE
3535,1301163-20150824-L_150824105639734._122.jpg,xux,fundus_image_unqualified,fi_unqualified_readable-range,fi_unqualified_others,,,fundus_image_unqualifiedfi_unqualified_readable-rangefi_unqualified_othersnannan,0,1,0,0,0,1,1,dbfs:/mnt/fiqainDB/crop_fundus_image_set/1301163-20150824-L_150824105639734._122.png,TRUE
3076,1427211-20170905-L_170905103021484._199.jpg,xux,fundus_image_unqualified,fi_unqualified_focus-clearness,,,,fundus_image_unqualifiedfi_unqualified_focus-clearnessnannannan,0,1,0,0,1,0,0,dbfs:/mnt/fiqainDB/crop_fundus_image_set/1427211-20170905-L_170905103021484._199.png,TRUE
2266,1301080-20160421-L_160421095244187._069.jpg,xux,fundus_image_qualified,,,,,fundus_image_qualifiednannannannan,1,0,0,0,0,0,0,dbfs:/mnt/fiqainDB/crop_fundus_image_set/1301080-20160421-L_160421095244187._069.png,TRUE
3226,86184870-20190830-L_1.2.276.0.75.2.1.20.0.3.190830112445281.1076358.29250_047.jpg,xux,fundus_image_unqualified,fi_unqualified_focus-clearness,fi_unqualified_readable-range,,,fundus_image_unqualifiedfi_unqualified_focus-clearnessfi_unqualified_readable-rangenannan,0,1,0,0,1,1,0,dbfs:/mnt/fiqainDB/crop_fundus_image_set/86184870-20190830-L_1.2.276.0.75.2.1.20.0.3.190830112445281.1076358.29250_047.png,TRUE
1538,14001951-20151201-L_15120115022165_056.jpg,xux,fundus_image_qualified,,,,,fundus_image_qualifiednannannannan,1,0,0,0,0,0,0,dbfs:/mnt/fiqainDB/crop_fundus_image_set/14001951-20151201-L_15120115022165_056.png,TRUE
1582,18060051-20180806-L_180806160008843_075.jpg,xux,fundus_image_unqualified,fi_unqualified_others,fi_unqualified_readable-range,,,fundus_image_unqualifiedfi_unqualified_othersfi_unqualified_readable-rangenannan,0,1,0,0,0,1,1,dbfs:/mnt/fiqainDB/crop_fundus_image_set/18060051-20180806-L_180806160008843_075.png,TRUE
684,16121024-20180518-L_180518101218531_084.jpg,xux,fundus_image_unqualified,fi_unqualified_macular-position,fi_unqualified_readable-range,,,fundus_image_unqualifiedfi_unqualified_macular-positionfi_unqualified_readable-rangenannan,0,1,0,1,0,1,0,dbfs:/mnt/fiqainDB/crop_fundus_image_set/16121024-20180518-L_180518101218531_084.png,TRUE
2106,86173867-20180713-R_180713145220656_009.jpg,xux,fundus_image_unqualified,fi_unqualified_readable-range,fi_unqualified_others,,,fundus_image_unqualifiedfi_unqualified_readable-rangefi_unqualified_othersnannan,0,1,0,0,0,1,1,dbfs:/mnt/fiqainDB/crop_fundus_image_set/86173867-20180713-R_180713145220656_009.png,TRUE
